country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
AU,Australia,New South Wales,Bankstown City Council,,,,ChIJBUCbNJ6-EmsRKjYZthGxB6w,29/04/2022,-2,17,-9,-29,-9,4
AU,Australia,New South Wales,Bankstown City Council,,,,ChIJBUCbNJ6-EmsRKjYZthGxB6w,30/04/2022,5,20,46,-37,-10,3
AU,Australia,New South Wales,Bathurst Regional Council,,,,ChIJX9HZN_boEWsR2XS1xfFaJRs,1/04/2022,-4,10,-15,,6,1
AU,Australia,New South Wales,Bathurst Regional Council,,,,ChIJX9HZN_boEWsR2XS1xfFaJRs,2/04/2022,5,,48,,-2,
AU,Australia,New South Wales,Bathurst Regional Council,,,,ChIJX9HZN_boEWsR2XS1xfFaJRs,3/04/2022,9,,28,,0,
AU,Australia,New South Wales,Bathurst Regional Council,,,,ChIJX9HZN_boEWsR2XS1xfFaJRs,4/04/2022,-3,,-20,-56,5,1
AU,Australia,New South Wales,Bathurst Regional Council,,,,ChIJX9HZN_boEWsR2XS1xfFaJRs,5/04/2022,-2,12,-8,-55,1,3
AU,Australia,New South Wales,Bathurst Regional Council,,,,ChIJX9HZN_boEWsR2XS1xfFaJRs,6/04/2022,-4,7,-20,,-5,4
AU,Australia,New South Wales,Bathurst Regional Council,,,,ChIJX9HZN_boEWsR2XS1xfFaJRs,7/04/2022,-5,-1,-7,-52,4,3
AU,Australia,New South Wales,Bathurst Regional Council,,,,ChIJX9HZN_boEWsR2XS1xfFaJRs,8/04/2022,7,10,-25,,3,3
